EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,Display,Direction,Timestamp
-3829.84,-3856.66,-3856.21,-3853.8,-3843.52,-3818.39,-3853.8,-3833.06,-0.029541,0.996094,0.24292,-1.98364,2.44141,1.06812,66.6667,75,1,Arrow,Left,788697
-3829.66,-3856.66,-3855.59,-3853.53,-3843.7,-3818.04,-3853.17,-3832.79,-0.0302734,0.992676,0.244141,-1.92261,2.38037,1.12915,66.6667,76,1,Arrow,Left,788826
-3829.12,-3856.3,-3855.41,-3853.08,-3842.71,-3817.5,-3853.08,-3832.52,-0.0297852,0.992676,0.243408,-1.98364,2.44141,1.19019,66.6667,77,1,Arrow,Left,788947
-3829.03,-3856.3,-3855.32,-3853.44,-3842.62,-3817.41,-3853.08,-3832.16,-0.027832,0.99292,0.24292,-2.01416,2.53296,1.19019,66.6667,78,1,Arrow,Left,789068
-3828.94,-3856.12,-3854.78,-3853.17,-3842.53,-3817.32,-3852.9,-3831.98,-0.029541,0.990234,0.240479,-2.01416,2.47192,1.2207,66.6667,79,1,Arrow,Left,789190
-3828.5,-3855.5,-3854.51,-3852.46,-3842.62,-3817.32,-3852.73,-3832.34,-0.0270996,0.991943,0.242188,-1.89209,2.50244,1.15967,66.6667,80,1,Arrow,Left,789310
-3828.59,-3854.78,-3854.78,-3852.28,-3842.89,-3817.14,-3852.46,-3831.98,-0.0246582,0.991455,0.244629,-1.77002,2.50244,1.2207,66.6667,81,1,Arrow,Left,789553
-3828.85,-3855.05,-3854.51,-3852.46,-3842.62,-3817.23,-3852.37,-3831.89,-0.0222168,0.989014,0.243896,-1.77002,2.50244,1.28174,66.6667,82,1,Arrow,Left,789687
-3828.68,-3854.96,-3854.51,-3852.19,-3841.82,-3816.78,-3852.73,-3831.72,-0.0224609,0.986816,0.244629,-1.80054,2.59399,1.2207,66.6667,83,1,Arrow,Left,789810
-3828.32,-3854.69,-3854.42,-3851.83,-3841.73,-3817.14,-3851.83,-3831.72,-0.0200195,0.988281,0.24585,-1.7395,2.68555,1.31226,66.6667,84,1,Arrow,Left,790879
-3828.23,-3854.42,-3853.98,-3851.65,-3841.37,-3816.78,-3851.56,-3831.27,-0.0205078,0.984131,0.246338,-1.64795,2.68555,1.25122,66.6667,85,1,Arrow,Left,791008
-3827.87,-3854.42,-3853.62,-3851.3,-3841.28,-3816.87,-3851.38,-3830.91,-0.0200195,0.984863,0.244873,-1.49536,2.74658,1.2207,66.6667,86,1,Arrow,Left,791133
-3827.87,-3854.42,-3853.71,-3850.85,-3842,-3816.69,-3851.38,-3830.82,-0.0187988,0.98291,0.245361,-1.34277,2.92969,1.31226,66.6667,87,1,Arrow,Left,791256
-3827.87,-3853.98,-3853.8,-3851.21,-3841.82,-3816.69,-3851.47,-3830.73,-0.0197754,0.981934,0.243164,-1.06812,3.02124,1.19019,66.6667,88,1,Arrow,Left,847252
-3827.96,-3854.25,-3853.17,-3851.12,-3841.19,-3816.78,-3851.12,-3830.82,-0.020752,0.984375,0.243164,-1.00708,3.05176,1.09863,66.6667,89,1,Arrow,Left,850917
-3827.78,-3854.25,-3852.73,-3850.58,-3840.21,-3816.07,-3850.76,-3830.82,-0.0209961,0.983887,0.242432,-0.762939,3.17383,1.0376,66.6667,90,1,Arrow,Left,851067
-3827.42,-3853.62,-3852.46,-3850.58,-3840.3,-3816.16,-3850.94,-3830.73,-0.0219727,0.983154,0.241943,-0.610352,3.32642,1.0376,66.6667,91,1,Arrow,Left,851193
-3827.6,-3853.17,-3852.46,-3850.49,-3840.66,-3816.34,-3850.67,-3830.46,-0.0236816,0.984131,0.244141,-0.610352,3.2959,1.00708,66.6667,92,1,Arrow,Left,851321
-3827.24,-3853.35,-3852.46,-3850.04,-3840.57,-3815.98,-3850.4,-3830.28,-0.0251465,0.983643,0.246338,-0.518799,3.20435,0.854492,66.6667,93,1,Arrow,Left,855951
-3827.42,-3853.62,-3852.73,-3850.04,-3840.83,-3815.98,-3850.49,-3830.37,-0.0285645,0.98291,0.24707,-0.457764,3.23486,0.671387,66.6667,94,1,Arrow,Left,908422
-3826.98,-3853.08,-3852.46,-3850.22,-3840.21,-3815.8,-3850.4,-3829.66,-0.0310059,0.983154,0.244873,-0.335693,3.20435,0.701904,66.6667,95,1,Arrow,Left,910829
-3827.07,-3852.9,-3852.37,-3850.13,-3840.39,-3815.53,-3850.22,-3829.75,-0.0307617,0.984375,0.243896,-0.366211,3.08228,0.396728,66.6667,96,1,Arrow,Left,913320
-3827.16,-3853.08,-3852.28,-3849.51,-3840.21,-3815.62,-3850.22,-3829.66,-0.0317383,0.985596,0.242188,-0.274658,3.05176,0.274658,66.6667,97,1,Arrow,Left,913453
-3826.8,-3852.99,-3852.01,-3849.78,-3839.76,-3815.62,-3849.95,-3829.75,-0.0319824,0.985596,0.242432,-0.183105,3.02124,0.183105,66.6667,98,1,Arrow,Left,915867
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,99,1,Arrow,Left,916002
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,100,0,Arrow,Left,920914
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,101,0,Arrow,Left,921036
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,102,0,Arrow,Left,921152
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,103,0,Arrow,Left,921269
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,104,0,Arrow,Left,921385
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,105,0,Arrow,Left,921503
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,106,0,Arrow,Left,921620
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,107,0,Arrow,Left,921852
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,108,0,Arrow,Left,921978
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,109,0,Arrow,Left,922094
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,110,0,Arrow,Left,922210
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,111,0,Arrow,Left,922326
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,112,0,Arrow,Left,922443
